,Model,Parameters,Accuracy,f1 no_tumor,f1 tumor,f1_no_tumor,f1_tumor
0,"False svm ('hog',)","Pipeline(steps=[('scalar', StandardScaler()), ('pca', PCA(n_components=0.99)),
                ('svc', SVC(C=10, gamma=0.001))])",0.93,,,0.8781431334622823,0.9508963367108341
1,"False svm ('hog',)","Pipeline(steps=[('scalar', StandardScaler()), ('pca', PCA(n_components=0.9)),
                ('svc', SVC(C=10, gamma=0.001))])",0.9355555555555556,,,0.888030888030888,0.9547581903276131
2,"False svm ('wavelet_3x',)","Pipeline(steps=[('scalar', StandardScaler()), ('pca', PCA(n_components=0.95)),
                ('svc', SVC(C=10, gamma=0.001))])",0.9177777777777778,,,0.8571428571428571,0.9422776911076444
3,"False svm ('wavelet_2x',)","Pipeline(steps=[('scalar', StandardScaler()), ('pca', PCA(n_components=0.9)),
                ('svc', SVC(C=10, gamma=0.001))])",0.92,,,0.8506224066390042,0.9453717754172989
4,"False svm ('hog', 'wavelet_3x')","Pipeline(steps=[('scalar', StandardScaler()), ('pca', PCA(n_components=100)),
                ('svc', SVC(C=10, gamma=0.001))])",0.9577777777777777,,,0.9263565891472867,0.9704049844236761
5,"False svm ('hog', 'wavelet_2x')","Pipeline(steps=[('scalar', StandardScaler()), ('pca', PCA(n_components=100)),
                ('svc', SVC(C=10, gamma=0.001))])",0.9422222222222222,,,0.896,0.9600000000000001
6,"False svm ('wavelet_3x', 'wavelet_2x')","Pipeline(steps=[('scalar', StandardScaler()), ('pca', PCA(n_components=0.9)),
                ('svc', SVC(C=10, gamma=0.001))])",0.9122222222222223,,,0.8336842105263158,0.9403773584905661
7,"False svm ('hog', 'wavelet_3x', 'wavelet_2x')","Pipeline(steps=[('scalar', StandardScaler()), ('pca', PCA(n_components=0.99)),
                ('svc', SVC(C=10, gamma=0.0001))])",0.9422222222222222,,,0.8984375,0.9596273291925467
8,"False random forest ('hog',)","Pipeline(steps=[('scalar', StandardScaler()), ('pca', PCA(n_components=50)),
                ('clf', RandomForestClassifier(n_estimators=50))])",0.9022222222222223,,,0.8127659574468085,0.9338345864661654
9,"False random forest ('wavelet_3x',)","Pipeline(steps=[('scalar', StandardScaler()), ('pca', PCA(n_components=50)),
                ('clf', RandomForestClassifier(n_estimators=200))])",0.8611111111111112,,,0.7152619589977222,0.9081557678177811
10,"False random forest ('wavelet_2x',)","Pipeline(steps=[('scalar', StandardScaler()), ('pca', PCA(n_components=50)),
                ('clf', RandomForestClassifier())])",0.8611111111111112,,,0.7240618101545254,0.9072011878247958
11,"False random forest ('hog', 'wavelet_3x')","Pipeline(steps=[('scalar', StandardScaler()), ('pca', PCA(n_components=50)),
                ('clf', RandomForestClassifier())])",0.8988888888888888,,,0.8076109936575053,0.9314242652599848
12,"False random forest ('hog', 'wavelet_2x')","Pipeline(steps=[('scalar', StandardScaler()), ('pca', PCA(n_components=50)),
                ('clf', RandomForestClassifier(n_estimators=200))])",0.8822222222222222,,,0.771551724137931,0.9206586826347305
