Classifier,Augmented,Features,PCA,Classifier_Metrics,Accuracy,f1 no_tumor,f1 tumor
svm,False,"('hog',)",PCA(n_components=100),"SVC(C=10, gamma=0.001)",0.9266666666666666,0.8700787401574802,0.9489164086687307
svm,False,"('wavelet_3x',)",PCA(n_components=100),"SVC(C=10, gamma=0.001)",0.9044444444444445,0.8326848249027237,0.9331259720062207
svm,False,"('wavelet_2x',)",PCA(n_components=50),"SVC(C=10, gamma=0.001)",0.9244444444444444,0.8677042801556422,0.9471228615863141
svm,False,"('hog', 'wavelet_3x')",PCA(n_components=0.9),"SVC(C=10, gamma=0.001)",0.9544444444444444,0.9188118811881189,0.9683397683397683
svm,False,"('hog', 'wavelet_2x')",PCA(n_components=0.9),"SVC(C=10, gamma=0.0001)",0.9355555555555556,0.8862745098039215,0.9550387596899225
svm,False,"('wavelet_3x', 'wavelet_2x')",PCA(n_components=0.99),"SVC(C=10, gamma=0.001)",0.8911111111111111,0.7831858407079646,0.9272997032640948
svm,False,"('hog', 'wavelet_3x', 'wavelet_2x')",PCA(n_components=100),"SVC(C=10, gamma=0.001)",0.9377777777777778,0.888,0.9569230769230769
random forest,False,"('hog',)",PCA(n_components=50),RandomForestClassifier(),0.9044444444444445,0.8200836820083681,0.934947049924357
random forest,False,"('wavelet_3x',)",PCA(n_components=50),RandomForestClassifier(),0.8722222222222222,0.7483588621444203,0.9143708116157856
random forest,False,"('wavelet_2x',)",PCA(n_components=50),RandomForestClassifier(n_estimators=50),0.8466666666666667,0.6933333333333332,0.8977777777777778
random forest,False,"('hog', 'wavelet_3x')",PCA(n_components=50),RandomForestClassifier(n_estimators=200),0.8966666666666666,0.8033826638477801,0.9299171062547099
random forest,False,"('hog', 'wavelet_2x')",PCA(n_components=100),RandomForestClassifier(n_estimators=200),0.8811111111111111,0.7616926503340758,0.92079940784604
random forest,False,"('wavelet_3x', 'wavelet_2x')",PCA(n_components=50),RandomForestClassifier(),0.8633333333333333,0.7248322147651007,0.9090909090909091
random forest,False,"('hog', 'wavelet_3x', 'wavelet_2x')",PCA(n_components=50),RandomForestClassifier(n_estimators=200),0.8788888888888889,0.7604395604395605,0.9189591078066914
knn,False,"('hog',)",PCA(n_components=0.95),KNeighborsClassifier(n_neighbors=1),0.9533333333333334,0.9195402298850576,0.9671361502347419
knn,False,"('wavelet_3x',)",PCA(n_components=50),KNeighborsClassifier(n_neighbors=1),0.9177777777777778,0.8576923076923076,0.9421875
