Classifier,Augmented,Features,PCA,Classifier_Metrics,Val accuracy,Test accuracy,f1 no_tumor,f1 tumor
svm,False,"('hog',)",PCA(n_components=0.95),"SVC(C=10, gamma=0.001)",0.9322222222222222,0.915,0.8721804511278195,0.9363295880149815
svm,False,"('wavelet_3x',)",PCA(n_components=0.99),"SVC(C=10, gamma=0.001)",0.9222222222222223,0.9,0.8484848484848485,0.9253731343283583
svm,False,"('wavelet_2x',)",PCA(n_components=100),"SVC(C=10, gamma=0.001)",0.9244444444444444,0.91,0.8548387096774193,0.9347826086956522
svm,False,"('hog', 'wavelet_3x')",PCA(n_components=100),"SVC(C=10, gamma=0.001)",0.9544444444444444,0.92,0.8787878787878787,0.9402985074626866
svm,False,"('hog', 'wavelet_2x')",PCA(n_components=0.99),"SVC(C=10, gamma=0.0001)",0.9388888888888889,0.92,0.8769230769230769,0.9407407407407408
svm,False,"('wavelet_3x', 'wavelet_2x')",PCA(n_components=100),"SVC(C=10, gamma=0.001)",0.9233333333333333,0.915,0.864,0.9381818181818181
svm,False,"('hog', 'wavelet_3x', 'wavelet_2x')",PCA(n_components=0.99),"SVC(C=10, gamma=0.0001)",0.9422222222222222,0.915,0.8702290076335878,0.9368029739776952
random forest,False,"('hog',)",PCA(n_components=50),RandomForestClassifier(),0.8944444444444445,0.86,0.7543859649122806,0.902097902097902
random forest,False,"('wavelet_3x',)",PCA(n_components=50),RandomForestClassifier(n_estimators=200),0.8611111111111112,0.835,0.6857142857142857,0.888135593220339
random forest,False,"('wavelet_2x',)",PCA(n_components=50),RandomForestClassifier(n_estimators=50),0.8522222222222222,0.835,0.6915887850467289,0.8873720136518771
random forest,False,"('hog', 'wavelet_3x')",PCA(n_components=50),RandomForestClassifier(n_estimators=200),0.9011111111111111,0.865,0.7692307692307692,0.9045936395759717
random forest,False,"('hog', 'wavelet_2x')",PCA(n_components=50),RandomForestClassifier(),0.8777777777777778,0.86,0.75,0.9027777777777777
