Classifier,Augmented,Features,PCA,Classifier_Metrics,Val accuracy,Test accuracy,Meningioma,No tumor,Glioma,Pituitary
svm,False,"('hog',)",100,"(C=10, gamma=0.001)",0.9189,0.895,0.8657,0.9189,0.8537,0.9455
svm,False,"('wavelet_3x',)",0.99,"(C=10, gamma=0.001)",0.9078,0.875,0.8485,0.8767,0.8276,0.9444
svm,False,"('wavelet_2x',)",0.99,"(C=10, gamma=0.0001)",0.8767,0.88,0.8741,0.8451,0.8409,0.9434
svm,False,"('hog', 'wavelet_3x')",0.99,"(C=10, gamma=0.0001)",0.9133,0.88,0.8333,0.9459,0.8235,0.9358
svm,False,"('hog', 'wavelet_2x')",0.95,"(C=10, gamma=0.0001)",0.9156,0.915,0.8923,0.9211,0.8736,0.972
svm,False,"('wavelet_3x', 'wavelet_2x')",0.9,"(C=10, gamma=0.001)",0.87,0.845,0.8,0.7667,0.8605,0.9358
svm,False,"('hog', 'wavelet_3x', 'wavelet_2x')",0.95,"(C=10, gamma=0.0001)",0.9222,0.91,0.8855,0.9091,0.8837,0.9623
random forest,False,"('hog',)",50,(n_estimators=200),0.8756,0.855,0.8175,0.8696,0.8293,0.9107
random forest,False,"('wavelet_3x',)",50,(n_estimators=200),0.8467,0.79,0.7218,0.8,0.7333,0.9107
random forest,False,"('wavelet_2x',)",50,(n_estimators=200),0.85,0.785,0.7231,0.7941,0.7111,0.9107
random forest,False,"('hog', 'wavelet_3x')",50,(n_estimators=200),0.9011,0.86,0.8244,0.9189,0.8293,0.885
random forest,False,"('hog', 'wavelet_2x')",50,(n_estimators=200),0.8811,0.84,0.7812,0.9167,0.7727,0.9107
random forest,False,"('wavelet_3x', 'wavelet_2x')",50,(n_estimators=200),0.8656,0.77,0.697,0.7812,0.7033,0.9027
random forest,False,"('hog', 'wavelet_3x', 'wavelet_2x')",50,(n_estimators=200),0.8811,0.845,0.8,0.9014,0.7907,0.9027
knn,False,"('hog',)",100,(n_neighbors=1),0.9244,0.885,0.8657,0.9143,0.8372,0.9273
knn,False,"('wavelet_3x',)",0.9,(n_neighbors=1),0.9044,0.875,0.8387,0.9067,0.8172,0.9444
knn,False,"('wavelet_2x',)",100,(n_neighbors=1),0.8989,0.865,0.816,0.9067,0.8132,0.9358
knn,False,"('hog', 'wavelet_3x')",0.9,(n_neighbors=1),0.9356,0.915,0.8971,0.9315,0.881,0.9533
knn,False,"('hog', 'wavelet_2x')",100,(n_neighbors=1),0.9078,0.87,0.8197,0.8947,0.8172,0.9541
knn,False,"('wavelet_3x', 'wavelet_2x')",0.9,(n_neighbors=2),0.8656,0.86,0.8358,0.88,0.8276,0.9038
knn,False,"('hog', 'wavelet_3x', 'wavelet_2x')",0.9,(n_neighbors=1),0.9222,0.865,0.8095,0.9189,0.8132,0.9358
svm,True,"('hog',)",0.9,"(C=10, gamma=0.001)",0.9111,0.935,0.9333,0.9189,0.9157,0.963
svm,True,"('wavelet_3x',)",100,"(C=10, gamma=0.001)",0.8933,0.86,0.812,0.8857,0.8372,0.9189
svm,True,"('wavelet_2x',)",50,"(C=10, gamma=0.001)",0.8933,0.865,0.8116,0.8529,0.8706,0.9358
svm,True,"('hog', 'wavelet_3x')",100,"(C=10, gamma=0.001)",0.9356,0.905,0.8889,0.8533,0.8941,0.9714
svm,True,"('hog', 'wavelet_2x')",50,"(C=10, gamma=0.001)",0.9056,0.9,0.8671,0.8824,0.9157,0.9434
svm,True,"('wavelet_3x', 'wavelet_2x')",50,"(C=10, gamma=0.001)",0.8944,0.86,0.8058,0.8358,0.8706,0.9358
svm,True,"('hog', 'wavelet_3x', 'wavelet_2x')",50,"(C=10, gamma=0.001)",0.91,0.9,0.8671,0.8824,0.8916,0.9623
random forest,True,"('hog',)",50,(n_estimators=200),0.8722,0.85,0.8201,0.8986,0.775,0.9107
random forest,True,"('wavelet_3x',)",50,(n_estimators=200),0.8356,0.83,0.7883,0.8485,0.7765,0.9107
random forest,True,"('wavelet_2x',)",50,(n_estimators=200),0.84,0.835,0.7941,0.8788,0.7674,0.9107
random forest,True,"('hog', 'wavelet_3x')",50,(n_estimators=200),0.89,0.865,0.8271,0.9167,0.8293,0.9027
random forest,True,"('hog', 'wavelet_2x')",50,(n_estimators=200),0.8644,0.865,0.8271,0.9296,0.8095,0.9107
random forest,True,"('wavelet_3x', 'wavelet_2x')",50,(n_estimators=200),0.8467,0.83,0.7971,0.7937,0.7955,0.9189
random forest,True,"('hog', 'wavelet_3x', 'wavelet_2x')",50,(n_estimators=200),0.8567,0.865,0.8209,0.9296,0.8095,0.9189
knn,True,"('hog',)",100,(n_neighbors=2),0.8978,0.885,0.875,0.8235,0.8861,0.9358
knn,True,"('wavelet_3x',)",50,(n_neighbors=1),0.8967,0.885,0.8571,0.88,0.8667,0.9358
knn,True,"('wavelet_2x',)",50,(n_neighbors=1),0.8967,0.875,0.8438,0.8649,0.8667,0.9259
knn,True,"('hog', 'wavelet_3x')",100,(n_neighbors=1),0.9267,0.88,0.8507,0.9014,0.8372,0.9358
knn,True,"('hog', 'wavelet_2x')",50,(n_neighbors=1),0.9067,0.895,0.8855,0.9041,0.8605,0.9273
knn,True,"('wavelet_3x', 'wavelet_2x')",50,(n_neighbors=1),0.8989,0.87,0.8346,0.8649,0.8571,0.9259
knn,True,"('hog', 'wavelet_3x', 'wavelet_2x')",100,(n_neighbors=1),0.9122,0.89,0.864,0.8947,0.8571,0.9444
